feature,importance_mae,std
mean_ionization_energy,0.28255342714323295,0.002126377607487584
mean_d_valence,0.24484362548274413,0.003940149307162067
mean_p_valence,0.24230310859744247,0.0022224005355869205
mean_group,0.11457822883194266,0.001305735085908589
max_electronegativity,0.1106235401737461,0.001686759647255388
total_atoms,0.09463864844133794,0.001890179284839848
mean_electron_affinity,0.07966481417974666,0.0005727051437720299
max_atomic_number,0.07410469902564501,0.0013172378321273054
mean_electronegativity,0.07404891103164037,0.0004543566808124303
mean_atomic_mass,0.06141316579504961,0.0005427477766980957
max_atomic_mass,0.05862272694177693,0.0012086949807034715
max_atomic_radius,0.057858757838043964,0.0012583434860999406
electronegativity_difference,0.055727408549861926,0.00047903570117609277
mean_period,0.05400228724704763,0.0009570446890124033
spg_number,0.04942370182669189,0.0008251228249963402
min_electronegativity,0.0425131213316251,0.0008925536955600782
mean_atomic_radius,0.041425736582379157,0.00045913721643781573
mean_atomic_number,0.03302558560340248,0.00038952507372857315
mean_s_valence,0.029844539522339363,0.0008828789962436081
num_elements,0.019030322693652436,0.0012265632396781729
crys,0.016844455300418316,0.0002653373808034414
mean_f_valence,0.012036512452887,0.0003712636827933378
min_atomic_mass,0.00916672920931541,0.0001715321309177678
min_atomic_number,0.008910072265504077,0.00021434935087361382
min_atomic_radius,0.007844451280149272,0.0001498653599388038
