jid,formula,target_bandgap,predicted_bandgap,prediction_error,distance_from_target,num_elements,total_atoms,crys,spg_number
JVASP-7789,Rb2O,1.607,1.4998733333333356,0.10712666666666437,0.00012666666666438786,2,3.0,cubic,225
JVASP-25631,NaNb2PS10,1.571,1.4997550000000017,0.07124499999999823,0.0002449999999982744,4,14.0,monoclinic,15
JVASP-164534,TlIn3S5,1.63,1.4993849999999975,0.13061500000000237,0.0006150000000024747,3,9.0,monoclinic,12
JVASP-34401,Tb3CuSnS7,1.501,1.500765,0.00023499999999998522,0.0007649999999999046,4,12.0,hexagonal,173
JVASP-8004,CaC2,1.444,1.5009149999999993,0.05691499999999938,0.000914999999999333,2,3.0,tetragonal,139
JVASP-88221,P4S3I2,1.608,1.5010597797619045,0.10694022023809557,0.0010597797619045224,3,9.0,orthorhombic,62
JVASP-9159,Ga2S3,1.677,1.4988450000000018,0.1781549999999983,0.0011549999999982408,2,5.0,monoclinic,9
JVASP-3684,K2PtCl6,1.646,1.5013799999999993,0.14462000000000064,0.0013799999999992707,3,9.0,cubic,225
JVASP-48641,Li3Mn5OF11,1.557,1.4983644642857141,0.058635535714285814,0.001635535714285874,4,20.0,triclinic,1
JVASP-146933,Li3Mn5OF11,1.358,1.4983644642857141,0.14036446428571403,0.001635535714285874,4,20.0,triclinic,1
JVASP-46694,Li3Mn5OF11,1.731,1.4983644642857141,0.23263553571428597,0.001635535714285874,4,20.0,triclinic,1
JVASP-127251,TlI,1.584,1.501641250000001,0.08235874999999915,0.0016412500000009267,2,2.0,hexagonal,187
JVASP-143882,Tb2MgS4,1.708,1.498325000000002,0.20967499999999806,0.0016749999999980947,3,7.0,cubic,227
JVASP-58879,Tl6SeI4,1.551,1.498059999999994,0.05294000000000598,0.001940000000006048,3,11.0,tetragonal,128
JVASP-13395,Tl6SeI4,1.551,1.498059999999994,0.05294000000000598,0.001940000000006048,3,11.0,tetragonal,128
JVASP-26338,HoBi2BrO4,1.481,1.4980250000000024,0.01702500000000229,0.0019749999999976176,4,8.0,tetragonal,123
JVASP-9158,As4S5,1.591,1.4980040000000017,0.0929959999999983,0.0019959999999983324,2,9.0,monoclinic,11
JVASP-119150,Sb6O13,1.659,1.502099999999998,0.15690000000000204,0.0020999999999979924,2,19.0,orthorhombic,44
JVASP-93794,Na2TiO3,1.324,1.502217916666672,0.17821791666667197,0.0022179166666720374,3,6.0,orthorhombic,71
