jid,formula,reduced_formula,element_system,predicted_bandgap,prediction_uncertainty,distance_from_target,target_bandgap,prediction_error,crys,spg_number
JVASP-164534,TlIn3S5,In3S5Tl,In-S-Tl,1.4993849999999975,0.3530211137807478,0.0006150000000024747,1.63,0.13061500000000237,monoclinic,12
JVASP-34401,Tb3CuSnS7,CuS7SnTb3,Cu-S-Sn-Tb,1.5007649999999995,0.37993825784592966,0.0007649999999994606,1.501,0.0002350000000004293,hexagonal,173
JVASP-48641,Li3Mn5OF11,F11Li3Mn5O,F-Li-Mn-O,1.4983644642857143,0.27975785717061213,0.001635535714285652,1.557,0.05863553571428559,triclinic,1
JVASP-58879,Tl6SeI4,I4SeTl6,I-Se-Tl,1.498059999999994,0.2768854210679937,0.001940000000006048,1.551,0.05294000000000598,tetragonal,128
JVASP-26338,HoBi2BrO4,Bi2BrHoO4,Bi-Br-Ho-O,1.4980250000000024,0.09567222363361272,0.0019749999999976176,1.481,0.01702500000000229,tetragonal,123
JVASP-9158,As4S5,As4S5,As-S,1.4980040000000017,0.3900393251763209,0.0019959999999983324,1.591,0.0929959999999983,monoclinic,11
JVASP-119179,K3Ag9Sb4S12,Ag9K3S12Sb4,Ag-K-S-Sb,1.4976849999999997,0.3688013771327326,0.002315000000000289,1.601,0.10331500000000027,tetragonal,82
JVASP-26335,TmBi2BrO4,Bi2BrO4Tm,Bi-Br-O-Tm,1.4975449999999981,0.2604044507588146,0.0024550000000018724,1.529,0.03145500000000179,tetragonal,123
JVASP-1924,InBr,BrIn,Br-In,1.5029870833333345,0.19954341686736807,0.002987083333334528,1.556,0.05301291666666552,orthorhombic,63
JVASP-106180,CrO3,CrO3,Cr-O,1.4958993749999998,0.38039027370285694,0.004100625000000191,1.588,0.09210062500000027,orthorhombic,38
JVASP-30535,MgSb4O8,MgO8Sb4,Mg-O-Sb,1.5044928924963918,0.21710333724085126,0.004492892496391843,1.364,0.14049289249639174,triclinic,1
JVASP-112107,TiH14C8O4,C8H14O4Ti,C-H-O-Ti,1.495041333333337,0.3857583979929813,0.004958666666663003,1.531,0.03595866666666292,triclinic,1
JVASP-88178,Sm3SiCuSe7,CuSe7SiSm3,Cu-Se-Si-Sm,1.4947498333333318,0.14633904062512948,0.005250166666668221,1.51,0.01525016666666823,hexagonal,173
JVASP-92227,TbLiSe2,LiSe2Tb,Li-Se-Tb,1.5056766666666694,0.38479861097866613,0.005676666666669439,1.607,0.10132333333333055,tetragonal,141
JVASP-43938,Li2VF4,F4Li2V,F-Li-V,1.4942265833333348,0.07908850657644938,0.005773416666665199,1.511,0.016773416666665097,orthorhombic,33
JVASP-141202,Ba2DyGaSe5,Ba2DyGaSe5,Ba-Dy-Ga-Se,1.4941899999999975,0.3335853172728078,0.005810000000002535,1.658,0.16381000000000245,triclinic,2
JVASP-58896,AgXeF9,AgF9Xe,Ag-F-Xe,1.4916449999999943,0.28659886422489556,0.008355000000005663,1.438,0.05364499999999439,tetragonal,87
JVASP-63144,CuBSe2,BCuSe2,B-Cu-Se,1.5083699999999995,0.26402032705835343,0.008369999999999544,1.617,0.10863000000000045,tetragonal,122
JVASP-26337,ErBi2BrO4,Bi2BrErO4,Bi-Br-Er-O,1.5097250000000002,0.04772105798282335,0.009725000000000206,1.504,0.005725000000000202,tetragonal,123
JVASP-162055,LiCrSi2O6,CrLiO6Si2,Cr-Li-O-Si,1.4895125595238048,0.3710102004407189,0.010487440476195209,1.551,0.06148744047619514,triclinic,2
JVASP-144273,TiO2,O2Ti,O-Ti,1.4883516904761915,0.23001543263289212,0.011648309523808464,1.482,0.006351690476191552,cubic,205
JVASP-26380,LuBi2ClO4,Bi2ClLuO4,Bi-Cl-Lu-O,1.5118999999999985,0.3980143841621808,0.011899999999998467,1.545,0.03310000000000146,tetragonal,123
JVASP-1465,ErTlS2,ErS2Tl,Er-S-Tl,1.5125474999999968,0.23918914376231604,0.012547499999996825,1.542,0.029452500000003212,trigonal,166
JVASP-12141,BaB2Se6,B2BaSe6,B-Ba-Se,1.5128549999999987,0.39565434911675157,0.012854999999998729,1.626,0.11314500000000116,orthorhombic,64
JVASP-49934,ErTlO2,ErO2Tl,Er-O-Tl,1.4871400000000008,0.17818400713868796,0.012859999999999205,1.508,0.020859999999999213,trigonal,166
JVASP-99565,VO2F,FO2V,F-O-V,1.5129094166666688,0.35967634312584695,0.012909416666668783,1.36,0.15290941666666868,monoclinic,9
JVASP-104120,H6C11S2O,C11H6OS2,C-H-O-S,1.4868633333333352,0.22549142241631565,0.013136666666664798,1.496,0.009136666666664794,triclinic,1
JVASP-1318,CaTe,CaTe,Ca-Te,1.4866404365079373,0.30407347507165144,0.013359563492062687,1.559,0.07235956349206263,cubic,225
JVASP-43821,LiCrP2O7,CrLiO7P2,Cr-Li-O-P,1.5140099999999983,0.14363665931787725,0.014009999999998302,1.433,0.08100999999999825,monoclinic,9
JVASP-49798,Li2CuPO4,CuLi2O4P,Cu-Li-O-P,1.485891499999999,0.4015749639578521,0.014108500000000967,1.577,0.09110850000000092,triclinic,1
JVASP-97642,KBiP2Se6,BiKP2Se6,Bi-K-P-Se,1.514356666666663,0.1217549657212293,0.01435666666666302,1.469,0.04535666666666294,monoclinic,14
JVASP-142211,Ba2SmGaSe5,Ba2GaSe5Sm,Ba-Ga-Se-Sm,1.4852749999999981,0.3676291737267319,0.014725000000001875,1.63,0.14472500000000177,triclinic,2
JVASP-104139,H6C9SO,C9H6OS,C-H-O-S,1.4852085714285703,0.21031798989714712,0.014791428571429677,1.46,0.02520857142857036,triclinic,1
JVASP-10024,MgBi2O4,Bi2MgO4,Bi-Mg-O,1.4845800000000005,0.3258940220378401,0.015419999999999545,1.566,0.0814199999999996,orthorhombic,74
JVASP-171202,Dy2Pt2O7,Dy2O7Pt2,Dy-O-Pt,1.4842000000000033,0.14459657672296397,0.015799999999996706,1.526,0.04179999999999673,cubic,227
JVASP-112652,Rb3Ag9Sb4S12,Ag9Rb3S12Sb4,Ag-Rb-S-Sb,1.5160050000000016,0.369028379633599,0.0160050000000016,1.608,0.0919949999999985,tetragonal,82
JVASP-24630,Hg3Te2Br2,Br2Hg3Te2,Br-Hg-Te,1.5162725000000001,0.3043660329171934,0.016272500000000134,1.653,0.1367274999999999,cubic,199
JVASP-8825,LiSmSe2,LiSe2Sm,Li-Se-Sm,1.483325000000001,0.36436225020575375,0.016674999999999107,1.561,0.07767499999999905,tetragonal,141
JVASP-164359,Rb2Sn2Hg3S8,Hg3Rb2S8Sn2,Hg-Rb-S-Sn,1.4831633333333303,0.36409104476459975,0.01683666666666972,1.493,0.009836666666669824,monoclinic,14
JVASP-1267,BaTe,BaTe,Ba-Te,1.5182250555555563,0.2107404906660552,0.018225055555556313,1.605,0.08677494444444367,cubic,225
JVASP-97693,Tl6SI4,I4STl6,I-S-Tl,1.4813566666666618,0.3731175038480211,0.01864333333333823,1.588,0.10664333333333831,tetragonal,128
JVASP-26331,DyBi2IO4,Bi2DyIO4,Bi-Dy-I-O,1.518679999999998,0.025662377130733622,0.01867999999999803,1.522,0.003320000000001988,tetragonal,123
JVASP-10546,K2SnSe3,K2Se3Sn,K-Se-Sn,1.4810416666666675,0.2646493695806669,0.018958333333332522,1.547,0.06595833333333245,triclinic,2
JVASP-59104,Tl2S5,S5Tl2,S-Tl,1.5195699999999999,0.37229393642658226,0.019569999999999865,1.613,0.09343000000000012,orthorhombic,19
JVASP-48314,Li6MnO2F4,F4Li6MnO2,F-Li-Mn-O,1.4803261666666654,0.14559001940866922,0.01967383333333461,1.474,0.0063261666666654115,triclinic,2
JVASP-10485,Rb2SnSe3,Rb2Se3Sn,Rb-Se-Sn,1.4802600000000026,0.3338727038857776,0.019739999999997426,1.603,0.1227399999999974,triclinic,2
JVASP-90711,BaAgSF,AgBaFS,Ag-Ba-F-S,1.5197929166666666,0.3067931117238707,0.019792916666666605,1.535,0.015207083333333316,tetragonal,129
JVASP-51636,Nd3CuSiSe7,CuNd3Se7Si,Cu-Nd-Se-Si,1.4797306666666676,0.06732292042916085,0.020269333333332362,1.459,0.020730666666667563,hexagonal,173
JVASP-12835,Na2B2Se7,B2Na2Se7,B-Na-Se,1.4796599999999962,0.2595051529353517,0.0203400000000038,1.486,0.006340000000003787,monoclinic,15
JVASP-175047,SrY2Se4,Se4SrY2,Se-Sr-Y,1.4796187500000009,0.32607081961650924,0.02038124999999913,1.48,0.00038124999999911147,orthorhombic,62
