feature,importance,std
mean_ionization_energy,0.2825534271432329,0.0021263776074876097
mean_d_valence,0.2448436254827442,0.003940149307162065
mean_p_valence,0.24230310859744247,0.0022224005355869435
mean_group,0.11457822883194264,0.0013057350859085758
max_electronegativity,0.11062354017374605,0.001686759647255388
total_atoms,0.09463864844133792,0.0018901792848398545
mean_electron_affinity,0.07966481417974665,0.0005727051437720299
max_atomic_number,0.07410469902564498,0.0013172378321273054
mean_electronegativity,0.07404891103164032,0.0004543566808124482
mean_atomic_mass,0.06141316579504959,0.0005427477766980957
max_atomic_mass,0.058622726941776906,0.0012086949807034715
max_atomic_radius,0.05785875783804393,0.0012583434860999406
electronegativity_difference,0.05572740854986187,0.0004790357011760785
mean_period,0.05400228724704761,0.0009570446890124034
spg_number,0.049423701826691875,0.00082512282499636
min_electronegativity,0.04251312133162506,0.0008925536955600615
mean_atomic_radius,0.04142573658237913,0.00045913721643781573
mean_atomic_number,0.033025585603402435,0.0003895250737285628
mean_s_valence,0.029844539522339335,0.0008828789962436081
num_elements,0.01903032269365241,0.0012265632396781729
crys,0.01684445530041829,0.0002653373808034414
mean_f_valence,0.012036512452886972,0.0003712636827933378
min_atomic_mass,0.009166729209315383,0.0001715321309177678
min_atomic_number,0.008910072265504054,0.00021434935087362425
min_atomic_radius,0.007844451280149217,0.0001498653599388084
