formula,prototype_index,validation_status,prototype_source_jid,prototype_source_formula,lattice_scale,kpoints,job_directory,pw_relax,pw_scf,pseudo_directory,warnings
K3CsTe2,1,valid,JVASP-87920,K3InP2,1.1822660098522169,3 3 2,results\qe_jobs\K3CsTe2\prototype_1,results\qe_jobs\K3CsTe2\prototype_1\pw_relax.in,results\qe_jobs\K3CsTe2\prototype_1\pw_scf.in,results\qe_jobs\K3CsTe2\prototype_1\pseudo,nan
K3CsTe2,2,valid_with_warnings,JVASP-10256,Na3AlAs2,1.340782122905028,3 3 2,results\qe_jobs\K3CsTe2\prototype_2,results\qe_jobs\K3CsTe2\prototype_2\pw_relax.in,results\qe_jobs\K3CsTe2\prototype_2\pw_scf.in,results\qe_jobs\K3CsTe2\prototype_2\pseudo,large lattice scaling factor: 1.341
K3CsTe2,3,valid_with_warnings,JVASP-9698,Na3AlP2,1.35,3 3 2,results\qe_jobs\K3CsTe2\prototype_3,results\qe_jobs\K3CsTe2\prototype_3\pw_relax.in,results\qe_jobs\K3CsTe2\prototype_3\pw_scf.in,results\qe_jobs\K3CsTe2\prototype_3\pseudo,large lattice scaling factor: 1.350
KCs3Te2,1,valid_with_warnings,JVASP-87920,K3InP2,1.2610837438423643,3 3 2,results\qe_jobs\KCs3Te2\prototype_1,results\qe_jobs\KCs3Te2\prototype_1\pw_relax.in,results\qe_jobs\KCs3Te2\prototype_1\pw_scf.in,results\qe_jobs\KCs3Te2\prototype_1\pseudo,large lattice scaling factor: 1.261
KCs3Te2,2,valid_with_warnings,JVASP-10256,Na3AlAs2,1.35,3 3 2,results\qe_jobs\KCs3Te2\prototype_2,results\qe_jobs\KCs3Te2\prototype_2\pw_relax.in,results\qe_jobs\KCs3Te2\prototype_2\pw_scf.in,results\qe_jobs\KCs3Te2\prototype_2\pseudo,large lattice scaling factor: 1.350
KCs3Te2,3,valid_with_warnings,JVASP-9698,Na3AlP2,1.35,3 3 2,results\qe_jobs\KCs3Te2\prototype_3,results\qe_jobs\KCs3Te2\prototype_3\pw_relax.in,results\qe_jobs\KCs3Te2\prototype_3\pw_scf.in,results\qe_jobs\KCs3Te2\prototype_3\pseudo,large lattice scaling factor: 1.350
KCsSe,1,valid,JVASP-66686,KBaBi,1.0000000000000002,4 4 4,results\qe_jobs\KCsSe\prototype_1,results\qe_jobs\KCsSe\prototype_1\pw_relax.in,results\qe_jobs\KCsSe\prototype_1\pw_scf.in,results\qe_jobs\KCsSe\prototype_1\pseudo,nan
KCsSe,2,valid,JVASP-161077,RbBaBi,0.975409836065574,4 4 4,results\qe_jobs\KCsSe\prototype_2,results\qe_jobs\KCsSe\prototype_2\pw_relax.in,results\qe_jobs\KCsSe\prototype_2\pw_scf.in,results\qe_jobs\KCsSe\prototype_2\pseudo,nan
KCsSe,3,valid,JVASP-161080,BaSrBi,1.0347826086956522,4 4 4,results\qe_jobs\KCsSe\prototype_3,results\qe_jobs\KCsSe\prototype_3\pw_relax.in,results\qe_jobs\KCsSe\prototype_3\pw_scf.in,results\qe_jobs\KCsSe\prototype_3\pseudo,nan
RbInNCl,1,valid,JVASP-155557,KInSeO,1.0090909090909093,4 6 3,results\qe_jobs\RbInNCl\prototype_1,results\qe_jobs\RbInNCl\prototype_1\pw_relax.in,results\qe_jobs\RbInNCl\prototype_1\pw_scf.in,results\qe_jobs\RbInNCl\prototype_1\pseudo,nan
RbInNCl,2,valid,JVASP-159860,RbInSO,1.0090909090909093,6 3 4,results\qe_jobs\RbInNCl\prototype_2,results\qe_jobs\RbInNCl\prototype_2\pw_relax.in,results\qe_jobs\RbInNCl\prototype_2\pw_scf.in,results\qe_jobs\RbInNCl\prototype_2\pseudo,nan
RbInNCl,3,valid,JVASP-159897,KGaTeO,1.0090909090909093,6 3 4,results\qe_jobs\RbInNCl\prototype_3,results\qe_jobs\RbInNCl\prototype_3\pw_relax.in,results\qe_jobs\RbInNCl\prototype_3\pw_scf.in,results\qe_jobs\RbInNCl\prototype_3\pseudo,nan
CsAlOSe,1,valid,JVASP-159886,RbInSeO,0.991150442477876,6 3 4,results\qe_jobs\CsAlOSe\prototype_1,results\qe_jobs\CsAlOSe\prototype_1\pw_relax.in,results\qe_jobs\CsAlOSe\prototype_1\pw_scf.in,results\qe_jobs\CsAlOSe\prototype_1\pseudo,nan
CsAlOSe,2,valid,JVASP-159898,RbGaTeO,0.991150442477876,6 3 4,results\qe_jobs\CsAlOSe\prototype_2,results\qe_jobs\CsAlOSe\prototype_2\pw_relax.in,results\qe_jobs\CsAlOSe\prototype_2\pw_scf.in,results\qe_jobs\CsAlOSe\prototype_2\pseudo,nan
CsAlOSe,3,valid,JVASP-36001,NaLiICl,0.991150442477876,6 6 4,results\qe_jobs\CsAlOSe\prototype_3,results\qe_jobs\CsAlOSe\prototype_3\pw_relax.in,results\qe_jobs\CsAlOSe\prototype_3\pw_scf.in,results\qe_jobs\CsAlOSe\prototype_3\pseudo,nan
Ca3BaN2Br2,1,valid,JVASP-170389,Sr3CaN2Cl2,1.004504504504505,7 4 3,results\qe_jobs\Ca3BaN2Br2\prototype_1,results\qe_jobs\Ca3BaN2Br2\prototype_1\pw_relax.in,results\qe_jobs\Ca3BaN2Br2\prototype_1\pw_scf.in,results\qe_jobs\Ca3BaN2Br2\prototype_1\pseudo,nan
Ca3BaN2Br2,2,valid,JVASP-102680,SrCa3Br2N2,1.013636363636364,7 4 3,results\qe_jobs\Ca3BaN2Br2\prototype_2,results\qe_jobs\Ca3BaN2Br2\prototype_2\pw_relax.in,results\qe_jobs\Ca3BaN2Br2\prototype_2\pw_scf.in,results\qe_jobs\Ca3BaN2Br2\prototype_2\pseudo,nan
K5NTe,1,valid_with_warnings,JVASP-46817,Li5SbS,1.345360824742268,3 2 2,results\qe_jobs\K5NTe\prototype_1,results\qe_jobs\K5NTe\prototype_1\pw_relax.in,results\qe_jobs\K5NTe\prototype_1\pw_scf.in,results\qe_jobs\K5NTe\prototype_1\pseudo,large lattice scaling factor: 1.345
K5NTe,2,valid_with_warnings,JVASP-46820,Li5SbS,1.345360824742268,4 4 3,results\qe_jobs\K5NTe\prototype_2,results\qe_jobs\K5NTe\prototype_2\pw_relax.in,results\qe_jobs\K5NTe\prototype_2\pw_scf.in,results\qe_jobs\K5NTe\prototype_2\pseudo,large lattice scaling factor: 1.345
K5NTe,3,valid_with_warnings,JVASP-52357,Li5SbS,1.345360824742268,4 2 3,results\qe_jobs\K5NTe\prototype_3,results\qe_jobs\K5NTe\prototype_3\pw_relax.in,results\qe_jobs\K5NTe\prototype_3\pw_scf.in,results\qe_jobs\K5NTe\prototype_3\pseudo,large lattice scaling factor: 1.345
Rb2Si2Te5,1,valid,JVASP-23042,Sr2Ge2Se5,1.1346938775510205,3 2 2,results\qe_jobs\Rb2Si2Te5\prototype_1,results\qe_jobs\Rb2Si2Te5\prototype_1\pw_relax.in,results\qe_jobs\Rb2Si2Te5\prototype_1\pw_scf.in,results\qe_jobs\Rb2Si2Te5\prototype_1\pseudo,nan
Rb2Si2Te5,2,valid,JVASP-97682,Na2Ge2Se5,1.1729957805907174,3 2 2,results\qe_jobs\Rb2Si2Te5\prototype_2,results\qe_jobs\Rb2Si2Te5\prototype_2\pw_relax.in,results\qe_jobs\Rb2Si2Te5\prototype_2\pw_scf.in,results\qe_jobs\Rb2Si2Te5\prototype_2\pseudo,nan
Rb2Si2Te5,3,valid,JVASP-10136,Tl2Sn2S5,1.1880341880341885,3 3 2,results\qe_jobs\Rb2Si2Te5\prototype_3,results\qe_jobs\Rb2Si2Te5\prototype_3\pw_relax.in,results\qe_jobs\Rb2Si2Te5\prototype_3\pw_scf.in,results\qe_jobs\Rb2Si2Te5\prototype_3\pseudo,nan
Rb4SiTe4,1,valid,JVASP-97423,K4GeS4,1.1459074733096086,2 2 2,results\qe_jobs\Rb4SiTe4\prototype_1,results\qe_jobs\Rb4SiTe4\prototype_1\pw_relax.in,results\qe_jobs\Rb4SiTe4\prototype_1\pw_scf.in,results\qe_jobs\Rb4SiTe4\prototype_1\pseudo,nan
Rb4SiTe4,2,valid,JVASP-164774,Rb4PbO4,1.1838235294117647,3 3 2,results\qe_jobs\Rb4SiTe4\prototype_2,results\qe_jobs\Rb4SiTe4\prototype_2\pw_relax.in,results\qe_jobs\Rb4SiTe4\prototype_2\pw_scf.in,results\qe_jobs\Rb4SiTe4\prototype_2\pseudo,nan
Rb4SiTe4,3,valid,JVASP-97990,Sr4GeP4,1.2150943396226417,2 2 2,results\qe_jobs\Rb4SiTe4\prototype_3,results\qe_jobs\Rb4SiTe4\prototype_3\pw_relax.in,results\qe_jobs\Rb4SiTe4\prototype_3\pw_scf.in,results\qe_jobs\Rb4SiTe4\prototype_3\pseudo,nan
