feature,mean_abs_shap
num__mean_ionization_energy,0.2549975404940235
num__mean_d_valence,0.20318045490057163
num__mean_p_valence,0.14916355879557883
num__max_electronegativity,0.14068153740885678
num__total_atoms,0.06612738498240134
num__mean_group,0.05981522912874797
num__max_atomic_radius,0.05870038298259691
num__max_atomic_number,0.051162321181203646
num__electronegativity_difference,0.037163132192236686
num__max_atomic_mass,0.0366824624305997
num__min_electronegativity,0.035763519501616436
num__mean_atomic_mass,0.03414291983464381
num__mean_period,0.029690849612044313
num__mean_electron_affinity,0.025664894116160675
num__mean_electronegativity,0.022002476699789827
num__mean_atomic_number,0.015926440939242163
num__mean_s_valence,0.014131623697622737
num__num_elements,0.012294598697142684
num__mean_atomic_radius,0.010285587260939073
cat__spg_number_99,0.009725748368245492
cat__spg_number_62,0.009209278790356818
num__mean_f_valence,0.006704359948871486
cat__crys_trigonal,0.005782561440386288
cat__spg_number_221,0.005665120645416022
cat__crys_cubic,0.005382785623211564
cat__crys_tetragonal,0.005055678652405599
cat__crys_orthorhombic,0.004997326924491082
cat__crys_monoclinic,0.004745711998824546
num__min_atomic_number,0.0043120904419372795
num__min_atomic_mass,0.004308249238145374
cat__spg_number_129,0.004088111703181971
cat__spg_number_14,0.0036843133104246173
cat__spg_number_216,0.003423639910940799
cat__spg_number_122,0.003105220160669017
num__min_atomic_radius,0.003077546960255627
cat__spg_number_15,0.002897193203297248
cat__spg_number_225,0.002814973708475228
cat__spg_number_187,0.0025879834740968077
cat__spg_number_164,0.002352204671845459
cat__spg_number_166,0.0020090165047292998
cat__spg_number_1,0.0018843074660472136
cat__spg_number_33,0.0018763384262973943
cat__spg_number_12,0.001837171458126236
cat__spg_number_123,0.0017805865444204595
cat__crys_triclinic,0.0017374547034535788
cat__spg_number_186,0.0016683979524270245
cat__spg_number_194,0.0015794282493791474
cat__spg_number_113,0.0015127775010329385
cat__spg_number_63,0.0013142105697092192
cat__crys_hexagonal,0.0012656377066459137
cat__spg_number_227,0.0012023880371557895
cat__spg_number_2,0.001143108187820382
cat__spg_number_115,0.0010898533091657637
cat__spg_number_156,0.0010624279992967785
cat__spg_number_36,0.0009871981168991849
cat__spg_number_11,0.0009436362754830442
cat__spg_number_70,0.0008486491099193289
cat__spg_number_148,0.000808522108121922
cat__spg_number_139,0.0007397829225833027
cat__spg_number_47,0.000621476162044385
cat__spg_number_65,0.0005932390112796649
cat__spg_number_72,0.0005703256407471914
cat__spg_number_64,0.0005528613981421953
cat__spg_number_10,0.0005286575090359795
cat__spg_number_4,0.0005235815144264013
cat__spg_number_205,0.0005183962826070631
cat__spg_number_59,0.0005033435529291875
cat__spg_number_9,0.0004901337014632366
cat__spg_number_136,0.00046251363806767016
cat__spg_number_6,0.00045628934364233423
cat__spg_number_141,0.0004318866671418968
cat__spg_number_160,0.0004308357240962186
cat__spg_number_5,0.0004239412150076357
cat__spg_number_19,0.00041531896026275974
cat__spg_number_71,0.0004089142616267515
cat__spg_number_217,0.0004070343741488612
cat__spg_number_140,0.0003942646761341646
cat__spg_number_82,0.0003917429260520025
cat__spg_number_167,0.0003849294558069887
cat__spg_number_127,0.0003698612233753972
cat__spg_number_215,0.0003000469267158113
cat__spg_number_88,0.00029732641817690466
cat__spg_number_198,0.00029561824533632877
cat__spg_number_26,0.00028394226839793086
cat__spg_number_31,0.0002763845063315293
cat__spg_number_191,0.00024924424091374043
cat__spg_number_161,0.00023995132295903936
cat__spg_number_176,0.00023016877076633725
cat__spg_number_25,0.0002293602800146742
cat__spg_number_8,0.0002288879150855912
cat__spg_number_220,0.00021188154098641612
cat__spg_number_147,0.00020988013797651513
cat__spg_number_107,0.00020578382640246658
cat__spg_number_58,0.00020110833873024172
cat__spg_number_61,0.00018705599122118615
cat__spg_number_38,0.00018697723759217354
cat__spg_number_52,0.00018527861110905725
cat__spg_number_131,0.0001829647084421182
cat__spg_number_13,0.0001785978220251393
cat__spg_number_121,0.00017548066105773218
cat__spg_number_57,0.00014766650230323733
cat__spg_number_60,0.00014440242654056366
cat__spg_number_189,0.00014376190195182105
cat__spg_number_163,0.0001426309922505103
cat__spg_number_109,0.00013914747479587135
cat__spg_number_44,0.00013292595990090162
cat__spg_number_55,0.00013246165832135184
cat__spg_number_67,0.00013000043433695945
cat__spg_number_137,0.0001296216993194694
cat__spg_number_152,0.00012377010761985486
cat__spg_number_66,0.00012318127752971748
cat__spg_number_20,0.00011298705531780686
cat__spg_number_40,0.000105304546769596
cat__spg_number_7,0.00010312395542270815
cat__spg_number_74,0.00010157498870459511
cat__spg_number_43,9.549927864662826e-05
cat__spg_number_119,9.345425433643896e-05
cat__spg_number_206,9.334319798567323e-05
cat__spg_number_87,9.012358977790475e-05
cat__spg_number_146,8.87830545619903e-05
cat__spg_number_126,8.724822655408734e-05
cat__spg_number_85,8.078933963961667e-05
cat__spg_number_199,7.681837083729742e-05
cat__spg_number_95,7.679303987651651e-05
cat__spg_number_162,7.52349449693734e-05
cat__spg_number_96,7.450771135709788e-05
cat__spg_number_173,7.24553818531605e-05
cat__spg_number_224,7.073468329637455e-05
cat__spg_number_132,6.693705950061499e-05
cat__spg_number_92,6.407531494557452e-05
cat__spg_number_165,6.400906267364983e-05
cat__spg_number_154,6.252072865035551e-05
cat__spg_number_193,6.190613346132687e-05
cat__spg_number_102,6.147940782363615e-05
cat__spg_number_125,6.124440515462301e-05
cat__spg_number_51,5.91450483272185e-05
cat__spg_number_211,5.892875797682147e-05
cat__spg_number_46,5.761505817797829e-05
cat__spg_number_142,5.639158153732332e-05
cat__spg_number_29,5.538105027414145e-05
cat__spg_number_112,4.8754783888397215e-05
cat__spg_number_138,4.627843217810055e-05
cat__spg_number_3,4.612545066347371e-05
cat__spg_number_218,3.6822805358573024e-05
cat__spg_number_42,3.575686259572183e-05
cat__spg_number_143,3.496039126239071e-05
cat__spg_number_24,3.4907712062371424e-05
cat__spg_number_116,3.458503638557213e-05
cat__spg_number_150,3.4448124438688e-05
cat__spg_number_128,3.3550041910562507e-05
cat__spg_number_135,3.244602306172165e-05
cat__spg_number_84,3.184226592260389e-05
cat__spg_number_18,3.170647725029778e-05
cat__spg_number_41,3.150076782676231e-05
cat__spg_number_174,2.9998991039398322e-05
cat__spg_number_181,2.9919725420120965e-05
cat__spg_number_91,2.9481019933726674e-05
cat__spg_number_204,2.9243455594847592e-05
cat__spg_number_39,2.9108761461785512e-05
cat__spg_number_53,2.898487789233962e-05
cat__spg_number_50,2.7789472478151815e-05
cat__spg_number_223,2.631143569762284e-05
cat__spg_number_188,2.5995959058088196e-05
cat__spg_number_111,2.5872793204281692e-05
cat__spg_number_182,2.5771086295270237e-05
cat__spg_number_183,2.5122262790649516e-05
cat__spg_number_69,2.413604308725393e-05
cat__spg_number_114,2.396169248434403e-05
cat__spg_number_177,2.3953112405010727e-05
cat__spg_number_35,2.3773560069357578e-05
cat__spg_number_54,2.3536065702856617e-05
cat__spg_number_178,2.306782229753877e-05
cat__spg_number_185,2.237270068542022e-05
cat__spg_number_159,2.160628778384738e-05
cat__spg_number_80,1.7848032772982352e-05
cat__spg_number_97,1.738264894442127e-05
cat__spg_number_230,1.7224506353943566e-05
cat__spg_number_105,1.710479634533502e-05
cat__spg_number_229,1.602766550622498e-05
cat__spg_number_169,1.5723228713141035e-05
cat__spg_number_100,1.4754993334565496e-05
cat__spg_number_21,1.4235507056457435e-05
cat__spg_number_155,1.4176492637963368e-05
cat__spg_number_73,1.4056045748459209e-05
