jid,formula,predicted_bandgap,prediction_uncertainty,distance_from_target,target_bandgap,prediction_error,num_elements,total_atoms,crys,spg_number
JVASP-164534,TlIn3S5,1.4993849999999975,0.3530211137807478,0.0006150000000024747,1.63,0.13061500000000237,3,9.0,monoclinic,12
JVASP-34401,Tb3CuSnS7,1.5007649999999995,0.37993825784592966,0.0007649999999994606,1.501,0.0002350000000004293,4,12.0,hexagonal,173
JVASP-48641,Li3Mn5OF11,1.4983644642857143,0.27975785717061213,0.001635535714285652,1.557,0.05863553571428559,4,20.0,triclinic,1
JVASP-46694,Li3Mn5OF11,1.4983644642857143,0.27975785717061213,0.001635535714285652,1.731,0.23263553571428575,4,20.0,triclinic,1
JVASP-146933,Li3Mn5OF11,1.4983644642857143,0.27975785717061213,0.001635535714285652,1.358,0.14036446428571425,4,20.0,triclinic,1
JVASP-58879,Tl6SeI4,1.498059999999994,0.2768854210679937,0.001940000000006048,1.551,0.05294000000000598,3,11.0,tetragonal,128
JVASP-13395,Tl6SeI4,1.498059999999994,0.2768854210679937,0.001940000000006048,1.551,0.05294000000000598,3,11.0,tetragonal,128
JVASP-26338,HoBi2BrO4,1.4980250000000024,0.09567222363361272,0.0019749999999976176,1.481,0.01702500000000229,4,8.0,tetragonal,123
JVASP-9158,As4S5,1.4980040000000017,0.3900393251763209,0.0019959999999983324,1.591,0.0929959999999983,2,9.0,monoclinic,11
JVASP-119179,K3Ag9Sb4S12,1.4976849999999997,0.3688013771327326,0.002315000000000289,1.601,0.10331500000000027,4,28.0,tetragonal,82
JVASP-26335,TmBi2BrO4,1.4975449999999981,0.2604044507588146,0.0024550000000018724,1.529,0.03145500000000179,4,8.0,tetragonal,123
JVASP-1924,InBr,1.5029870833333345,0.19954341686736807,0.002987083333334528,1.556,0.05301291666666552,2,2.0,orthorhombic,63
JVASP-106180,CrO3,1.4958993749999998,0.38039027370285694,0.004100625000000191,1.588,0.09210062500000027,2,4.0,orthorhombic,38
JVASP-43520,CrO3,1.4958993749999998,0.38039027370285694,0.004100625000000191,1.589,0.09310062500000016,2,4.0,orthorhombic,38
JVASP-30535,MgSb4O8,1.5044928924963918,0.21710333724085126,0.004492892496391843,1.364,0.14049289249639174,3,13.0,triclinic,1
JVASP-30658,MgSb4O8,1.5044928924963918,0.21710333724085126,0.004492892496391843,1.714,0.20950710750360813,3,13.0,triclinic,1
JVASP-10736,MgSb4O8,1.5044928924963918,0.21710333724085126,0.004492892496391843,1.358,0.14649289249639175,3,13.0,triclinic,1
JVASP-9282,MgSb4O8,1.5044928924963918,0.21710333724085126,0.004492892496391843,1.714,0.20950710750360813,3,13.0,triclinic,1
JVASP-112107,TiH14C8O4,1.495041333333337,0.3857583979929813,0.004958666666663003,1.531,0.03595866666666292,4,27.0,triclinic,1
JVASP-88178,Sm3SiCuSe7,1.4947498333333318,0.14633904062512948,0.005250166666668221,1.51,0.01525016666666823,4,12.0,hexagonal,173
